Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestCases3,Chrome 117.0.0.0,,,2023-10-11 16:07:51,2023-10-11 16:10:34,2m - 43.719s,FAILED
,,,,,,,
Test Cases/TestCases3/Accordion,Chrome 117.0.0.0,,,2023-10-11 16:07:51,2023-10-11 16:08:00,8.926s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-11 16:07:51,2023-10-11 16:07:54,3.107s,PASSED
maximizeWindow(),Chrome 117.0.0.0,,,2023-10-11 16:07:54,2023-10-11 16:07:55,0.181s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 117.0.0.0,,,2023-10-11 16:07:55,2023-10-11 16:07:56,0.878s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 117.0.0.0,,,2023-10-11 16:07:56,2023-10-11 16:07:56,0.387s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 117.0.0.0,,,2023-10-11 16:07:56,2023-10-11 16:07:56,0.387s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_CURA Healthcare""), ""CURA Healthcare"")",Chrome 117.0.0.0,,,2023-10-11 16:07:56,2023-10-11 16:07:57,0.453s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Home""), ""Home"")",Chrome 117.0.0.0,,,2023-10-11 16:07:57,2023-10-11 16:07:57,0.330s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Login""), ""Login"")",Chrome 117.0.0.0,,,2023-10-11 16:07:57,2023-10-11 16:07:57,0.332s,PASSED
"takeFullPageScreenshotAsCheckpoint(""Accordion"")",Chrome 117.0.0.0,,,2023-10-11 16:07:57,2023-10-11 16:07:59,1.789s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-10-11 16:07:59,2023-10-11 16:08:00,0.683s,PASSED
,,,,,,,
Test Cases/TestCases3/AdmissionCheckBox,Chrome 117.0.0.0,,,2023-10-11 16:08:00,2023-10-11 16:08:10,9.958s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-11 16:08:00,2023-10-11 16:08:02,1.929s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 117.0.0.0,,,2023-10-11 16:08:02,2023-10-11 16:08:03,0.880s,PASSED
maximizeWindow(),Chrome 117.0.0.0,,,2023-10-11 16:08:03,2023-10-11 16:08:03,0.129s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 117.0.0.0,,,2023-10-11 16:08:03,2023-10-11 16:08:04,0.552s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 117.0.0.0,,,2023-10-11 16:08:04,2023-10-11 16:08:05,0.906s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 117.0.0.0,,,2023-10-11 16:08:05,2023-10-11 16:08:05,0.427s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 117.0.0.0,,,2023-10-11 16:08:05,2023-10-11 16:08:06,0.542s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 117.0.0.0,,,2023-10-11 16:08:06,2023-10-11 16:08:06,0.474s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 117.0.0.0,,,2023-10-11 16:08:06,2023-10-11 16:08:06,0.358s,PASSED
"rightClick(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 117.0.0.0,,,2023-10-11 16:08:06,2023-10-11 16:08:07,0.471s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 117.0.0.0,,,2023-10-11 16:08:07,2023-10-11 16:08:07,0.352s,PASSED
